wl,n,k,er,ei
268.9,1.38,1.8030000000000002,-1.346409000000001,4.97628
269.9,1.3869444444444443,1.8091111111111111,-1.3492681203703707,5.018273209876543
270.9,1.3938888888888887,1.8152222222222223,-1.3521054814814824,5.0604361728395055
271.9,1.4008333333333332,1.8213333333333332,-1.3549210833333336,5.102768888888888
272.9,1.4077777777777776,1.8274444444444444,-1.3577149259259265,5.145271358024691
273.9,1.414722222222222,1.8335555555555554,-1.3604870092592591,5.1879435802469125
274.9,1.4216666666666664,1.8396666666666663,-1.3632373333333327,5.230785555555554
275.9,1.4286111111111108,1.8457777777777775,-1.365965898148148,5.273797283950615
276.9,1.4338554216867467,1.8491204819277107,-1.3633051863840913,5.302742856728116
277.9,1.4386746987951804,1.8517710843373494,-1.3592712598345194,5.328192413993321
278.9,1.4434939759036143,1.8544216867469878,-1.3552049338075194,5.353693067208592
279.9,1.448313253012048,1.8570722891566265,-1.3511062083030927,5.379244816373928
280.9,1.4531325301204818,1.859722891566265,-1.3469750833212362,5.40484766148933
281.9,1.4579518072289155,1.8623734939759036,-1.3428115588619542,5.430501602554797
282.9,1.4627710843373494,1.8650240963855422,-1.3386156349252434,5.45620663957033
283.9,1.467590361445783,1.8676746987951807,-1.3343873115111045,5.481962772535926
284.9,1.47125,1.8695625,-1.33068737890625,5.50118765625
285.9,1.47375,1.8706875,-1.3275326601562503,5.51385140625
286.9,1.47625,1.8718125,-1.3243679726562503,5.52652640625
287.9,1.47875,1.8729375000000001,-1.3211933164062506,5.53921265625
288.9,1.48125,1.8740625,-1.3180086914062499,5.55191015625
289.9,1.48375,1.8751875,-1.3148140976562503,5.56461890625
290.9,1.48625,1.8763125,-1.3116095351562498,5.5773389062500005
291.9,1.48875,1.8774375,-1.30839500390625,5.59007015625
292.9,1.4923529411764707,1.8786470588235296,-1.3021974705882355,5.607208927335641
293.9,1.4970588235294118,1.8799411764705882,-1.2929937058823526,5.628765051903114
294.9,1.501764705882353,1.8812352941176471,-1.2837490000000003,5.65034553633218
295.9,1.5064705882352942,1.882529411764706,-1.2744633529411766,5.671950380622838
296.9,1.5111764705882353,1.8838235294117647,-1.2651367647058822,5.693579584775087
297.9,1.5158823529411765,1.8851176470588236,-1.2557692352941179,5.715233148788927
298.9,1.5205882352941176,1.8864117647058825,-1.2463607647058828,5.73691107266436
299.9,1.525294117647059,1.8877058823529411,-1.236911352941176,5.758613356401384
300.9,1.53,1.889,-1.227421,5.78034
301.9,1.53,1.8894081632653061,-1.2289632074135777,5.781588979591837
302.9,1.53,1.8898163265306123,-1.230505748021658,5.782837959183674
303.9,1.53,1.8902244897959184,-1.23204862182424,5.78408693877551
304.9,1.53,1.8906326530612245,-1.2335918288213246,5.785335918367347
